#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
25,"Despacito","Luis Fonsi,Daddy Yankee",82,178,"latin, reggaeton","VIDA",2019-02-01,03:49,66,80,20,0,84,10,0,-5,D Major,4,2024-12-04,6habFhsOp2NvshLv26DqMb,10B,USUM71607007
26,"Pink Pony Club","Chappell Roan",89,107,"","The Rise and Fall of a Midwest Princess",2023-09-22,04:18,61,65,40,0,51,0,10,-6,F#/G♭ Major,4,2024-12-04,1k2pQc5i348DCHwbn5KTdc,2B,USAT22001300
27,"Starships","Nicki Minaj",76,125,"","Pink Friday ... Roman Reloaded",2011-01-01,03:30,75,72,14,0,75,0,20,-2,B Minor,4,2024-12-07,1oHNvJVbFkexQc0BpQp7Y4,10A,USCM51200060
28,"Toxic","Britney Spears",85,143,"pop","In The Zone",2003-11-13,03:18,77,84,2,3,92,10,20,-4,F Minor,4,2024-12-07,6I9VzXrHxO9rA9A5euc8Ak,4A,USJI10301005
29,"SexyBack (feat. Timbaland)","Justin Timberlake,Timbaland",84,117,"","FutureSex/LoveSounds",2006-09-12,04:02,97,58,6,0,96,0,0,-6,G Minor,4,2024-12-07,0O45fw2L5vsWpdsOdXwNAR,6A,USJI10600269
30,"Applause","Lady Gaga",79,140,"art pop, pop","ARTPOP",2013-11-11,03:32,67,78,3,0,74,0,10,-4,G Minor,4,2024-12-07,5ka2ajep9OAvU5Sgduhiex,6A,USUM71310271
31,"360","Charli xcx",83,120,"hyperpop, art pop","BRAT",2024-06-07,02:13,86,62,65,24,80,0,0,-8,C Major,4,2024-12-07,4w2GLmK2wnioVnb5CPQeex,8B,USAT22401341
32,"Only Girl (In The World)","Rihanna",86,126,"","Loud (Japan Version)",2010-01-01,03:55,79,71,11,0,64,0,0,-4,B Minor,4,2024-12-07,2ENexcMEMsYk0rVJigVD3i,10A,USUM71023200
33,"Maneater","Nelly Furtado",85,133,"","Loose",2006-01-01,04:18,80,78,3,0,79,0,10,-5,F#/G♭ Major,4,2024-12-07,4wH4dJgrsxONID6KS2tDQM,2B,USUM70601449
34,"Gasolina","Daddy Yankee",8,96,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,03:12,86,80,33,0,75,0,0,-6,C Major,4,2024-12-07,6jEZLz3YpnEBRpVkv35AmP,8B,QM6N21759342
35,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",82,120,"","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭ Major,4,2024-12-07,3vkQ5DAB1qQMYO4Mr9zJN6,6B,SEAYD7901120
36,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",71,91,"latin pop, latin, reggaeton","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,03:27,69,82,6,0,66,0,20,-3,C Major,4,2024-12-07,7nKBxz47S9SD79N086fuhn,8B,USRC11700058
37,"Pony","Ginuwine",72,142,"r&b","R&B: From Doo-Wop To Hip-Hop",1999-10-08,04:11,75,61,0,4,97,0,10,-9,G#/A♭ Minor,4,2024-12-07,6mz1fBdKATx6qP4oP1I65G,1A,USSM19605851
38,"Old Town Road","Lil Nas X",74,136,"","7",2019-06-21,01:53,91,53,6,0,51,10,10,-6,C♯/D♭ Major,4,2024-12-07,0F7FA14euOIX8KcbEturGH,3B,USSM11901941
39,"It's Raining Men","The Weather Girls",64,137,"disco","Success",1982-00-00,05:25,69,74,3,60,56,0,40,-13,C♯/D♭ Major,4,2024-12-07,2IvetNzSZMH5gwjInoyr18,3B,USSM18200382
40,"SOS","Rihanna",80,137,"","A Girl Like Me",2006-04-10,03:58,68,67,0,0,53,0,40,-5,G Major,4,2024-12-07,30cSNer6TV8x2utjULVeQ5,9B,USUM70507379
41,"Alejandro","Lady Gaga",60,99,"art pop, pop","The Fame Monster (UK Deluxe)",2009-01-01,04:34,63,80,0,0,37,0,30,-7,B Minor,4,2024-12-07,0iOu4s8w3pE9vbpb1SHXsL,10A,USUM70905526
42,"The Man","The Killers",67,106,"alternative rock","Wonderful Wonderful",2017-09-22,04:10,61,94,7,0,52,10,0,-3,F#/G♭ Minor,4,2024-12-07,5aWhs651KYM26HYM16kRdk,11A,USUM71705733
43,"TYRANT","Beyoncé,Dolly Parton",65,126,"country","COWBOY CARTER",2024-03-29,04:10,75,65,8,0,81,10,50,-4,F#/G♭ Major,4,2024-12-07,5mUlozUYpdmXVPkj4BW8cA,2B,USSM12402726
44,"Killer Queen - Remastered 2011","Queen",74,117,"classic rock, rock, glam rock","Sheer Heart Attack (Deluxe Edition 2011 Remaster)",1974-11-08,02:59,54,65,39,0,61,0,10,-6,A#/B♭ Major,4,2024-12-07,4cIPLtg1avt2Jm3ne9S1zy,6B,GBUM71029606
45,"Somebody Told Me","The Killers",82,138,"alternative rock","Hot Fuss",2004-00-00,03:17,50,97,0,0,69,0,10,-5,A#/B♭ Minor,4,2024-12-07,6PwjJ58I4t7Mae9xfZ9l9v,3A,USIR20400195
46,"Freedom! '90 - Remastered","George Michael",70,92,"","Listen Without Prejudice Vol. 1 (Remastered)",1990-09-01,06:30,67,86,24,0,94,0,0,-10,F Major,4,2024-12-07,1wZ7o1mZysv1l26ZWawVfW,7B,GBARL1501373
47,"I Would Die 4 U","Prince",61,135,"funk rock","Purple Rain",1984-06-25,02:49,71,64,4,0,63,0,10,-14,D Major,4,2024-12-08,3QszJeuSyyZQmD9pY1tqpo,10B,USWB12402102
48,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",83,137,"","Honky Chateau",1972-05-19,04:41,60,53,43,0,34,0,0,-9,A#/B♭ Major,4,2024-12-08,3gdewACMIVMEWVbyb8O9sY,6B,GBAMB7200006
