#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
60,"Low (feat. T-Pain)","Flo Rida,T-Pain",84,128,"","Mail on Sunday",2008-03-17,03:51,92,61,9,0,30,0,10,-6,A#/B♭ Minor,4,2024-02-10,0CAfXk7DXMnon4gLudAp7J,3A,USAT20705841
61,"Bitch Better Have My Money","Rihanna",76,103,"","Bitch Better Have My Money",2015-03-26,03:39,78,73,5,0,40,0,20,-5,C♯/D♭ Major,4,2024-02-10,0NTMtAO2BV4tnGvw9EgBVq,3B,QM5FT1500006
62,"Hips Don't Lie (feat. Wyclef Jean)","Shakira,Wyclef Jean",87,100,"latin pop, latin, ","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,03:38,78,82,28,0,76,0,40,-6,A#/B♭ Minor,4,2024-02-10,3ZFTkvIE7kyPt6Nu3PEa7V,3A,USSM10600677
63,"Gasolina","Daddy Yankee",57,96,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,03:12,85,80,32,0,74,0,0,-7,C Major,4,2024-02-10,228BxWXUYQPJrJYHDLOHkj,8B,QM6N21759342
64,"Telephone","Lady Gaga,Beyoncé",80,122,"art pop, pop, ","The Fame Monster (Deluxe Edition)",2009-08-05,03:40,83,83,1,0,71,0,10,-6,F Minor,4,2024-02-10,7rl7ao5pb9BhvAzPdWStxi,4A,USUM70905541
65,"Pepas","Farruko",80,130,"reggaeton, trap latino, latin","Pepas",2021-06-24,04:47,76,77,1,0,44,0,10,-4,G Major,4,2024-02-10,5fwSHlTEWpluwOM0Sxnh5k,9B,USSD12100307
66,"Talk Dirty (feat. 2 Chainz)","Jason Derulo,2 Chainz",70,100,"southern hip hop, rap","Talk Dirty",2013-09-10,02:57,76,65,3,0,76,20,30,-7,F#/G♭ Major,4,2024-02-10,6g6A7qNhTfUgOSH7ROOxTD,2B,USWB11302648
67,"TiK ToK","Kesha",86,120,"","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D Minor,4,2024-02-10,0HPD5WQqrq7wPWR7P7Dw1i,7A,USRC10900433
68,"Right Round","Flo Rida,Kesha",82,125,"","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,03:24,72,67,1,0,71,0,20,-7,G Major,4,2024-02-10,3GpbwCm3YxiWDvy29Uo3vP,9B,USAT20900156
69,"Toxic","Britney Spears",85,143,"pop","In The Zone",2003-11-13,03:18,77,84,2,3,92,10,20,-4,F Minor,4,2024-02-10,6I9VzXrHxO9rA9A5euc8Ak,4A,USJI10301005
70,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",71,91,"latin pop, latin, reggaeton","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,03:27,69,82,6,0,66,0,20,-3,C Major,4,2024-02-10,7nKBxz47S9SD79N086fuhn,8B,USRC11700058
71,"Timber","Pitbull,Kesha",86,130,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,03:24,58,96,3,0,79,10,10,-4,B Major,4,2024-02-10,3cHyrEgdyYRjgJKSOiOtcS,1B,USRC11301695
72,"Juice","Lizzo",69,120,"","Cuz I Love You",2019-04-19,03:15,77,89,1,0,84,10,40,-3,G Major,4,2024-02-10,0k664IuFwVP557Gnx7RhIl,9B,USAT21813044
73,"Suavemente","Elvis Crespo",66,124,"merengue, latin dance, salsa, latin","Suavemente...Los Exitos",2008-10-14,04:26,81,88,24,0,92,0,0,-3,G#/A♭ Major,4,2024-02-10,1YwPNemawMgGe6sF4U0FTE,4B,USSD19700576
74,"Bottoms Up (feat. Nicki Minaj)","Trey Songz,Nicki Minaj",4,74,"r&b, ","Passion, Pain & Pleasure",2010-09-13,04:02,85,60,2,0,33,10,30,-5,C♯/D♭ Major,4,2024-02-10,2IpGdrWvIZipmaxo1YRxw5,3B,USAT21001515
75,"Get Me Bodied","Beyoncé",53,97,"","B'Day",2006-09-04,03:25,87,83,7,0,65,30,20,-7,C Minor,4,2024-02-10,6fmeXejj4CNkAQ78yao7oE,5A,USSM10603610
76,"Bailando - Spanish Version","Enrique Iglesias,Descemer Bueno,Gente De Zona",66,91,"latin pop, latin, latin dance","SEX AND LOVE (Deluxe)",2014-03-17,04:03,72,78,4,0,96,10,0,-4,G Major,4,2024-02-10,32lm3769IRfcnrQV11LO4E,9B,GBUM71400955
77,"Hot In Herre","Nelly",78,107,"","Nellyville",2002-06-25,03:48,96,74,20,0,91,10,0,-5,B Minor,4,2024-02-10,04KTF78FFg8sOHC1BADqbY,10A,USUR10200371
78,"Careless Whisper","George Michael",21,153,"","Ladies And Gentlemen... The Best Of George Michael",1998-11-09,05:00,57,63,13,0,80,0,20,-9,D Minor,4,2024-02-10,4jDmJ51x1o9NZB5Nxxc7gY,7A,GBBBM8402006
79,"Q.U.E.E.N. (feat. Erykah Badu)","Janelle Monáe,Erykah Badu",47,106,"alternative r&b, neo soul, r&b","The Electric Lady",2013-09-06,05:10,84,43,1,0,16,0,10,-8,C Major,4,2024-02-10,3HW030T8eqPs8wpsgZqCGM,8B,USBB41300014
80,"Work It","Missy Elliott",71,102,"hip hop","Under Construction",2002-11-12,04:23,88,68,8,0,58,20,0,-6,C♯/D♭ Major,4,2024-02-10,3jagJCUbdqhDSPuxP8cAqF,3B,USEE10240730
81,"Judas","Big Freedia",24,130,"bounce, ballroom vogue","Judas",2021-05-28,04:07,64,86,1,0,36,0,30,-4,C Minor,4,2024-02-10,3y9z8ShoJTFEkb0Yjz2x49,5A,USUM72108961
82,"Water Slide","Janelle Monáe",43,150,"alternative r&b","The Age of Pleasure",2023-06-09,02:44,73,55,44,0,22,0,30,-5,G Minor,4,2024-02-10,3PlQ7nKvyX9Da10AsYBm7c,6A,USAT22305097
83,"Modern Love - Single Version [Remastered]","David Bowie",0,92,"glam rock, art rock","Legacy (Deluxe Edition)",2016-11-11,03:57,47,89,0,0,95,0,0,-9,C Major,4,2024-02-10,0IzwEXmCbVDvB6hEzDaSwG,8B,USJT11400018
84,"Rumors (feat. Cardi B)","Lizzo,Cardi B",63,119,"","Rumors (feat. Cardi B)",2021-08-13,02:52,83,73,13,0,61,0,40,-6,E Minor,4,2024-02-10,6KgtcmCF9Ky68XC7ezxl3s,9A,USAT22104137
85,"Champagne Shit","Janelle Monáe",49,119,"alternative r&b","The Age of Pleasure",2023-06-09,02:23,75,61,33,0,64,0,50,-5,F Major,4,2024-02-10,5OhG7shUD0xgQMirbRAipe,7B,USAT22305090
86,"La Bamba - Single Version","Ritchie Valens",67,75,"doo-wop, rock and roll","Ritchie Valens",1959-00-00,02:06,52,81,79,0,94,0,30,-6,C Major,4,2024-02-10,2aEeghgUcnu75tzcolFMfs,8B,USRH10402003
87,"Tightrope (feat. Big Boi) - Big Boi Vocal Edit","Janelle Monáe,Big Boi",52,168,"alternative r&b, southern hip hop","The ArchAndroid",2010-05-17,04:22,64,67,3,0,64,0,20,-11,F Minor,4,2024-02-10,1ljzHUgt2SU2ADkhfa9eBC,4A,USBB41000024
88,"El Niño (feat. Lil Wayne & Boyfriend)","Big Freedia,Lil Wayne,Boyfriend",19,150,"bounce, ballroom vogue, rap, hip hop, ","Central City",2023-06-23,03:05,66,78,17,0,41,0,10,-4,G Minor,4,2024-02-10,2KklqeqUSAY35G0SIYIzvy,6A,US39N2305402
89,"Mo' Momo!","Lucky Chops",34,140,"","Lucky Chops",2019-09-27,05:15,48,68,0,9,24,0,30,-6,C Major,4,2024-02-10,59M05MYZ4uUvl3JHGMOtZk,8B,USA2P1931331
90,"3rd Ward Bounce (feat. Erica Falls)","Big Freedia,Erica Falls",25,100,"bounce, ballroom vogue, ","3rd Ward Bounce",2018-06-01,05:48,73,97,4,0,58,10,80,-1,G Major,4,2024-02-10,7IlJD8Fm3ry7hqjBC74cV8,9B,US39N1800060
91,"Haute","Janelle Monáe",46,119,"alternative r&b","The Age of Pleasure",2023-06-09,01:36,80,63,54,0,49,0,20,-5,B Major,4,2024-02-10,1C9Ws8tfcCcdLk06buoiSU,1B,USAT22305093
92,"Back That Azz Up","JUVENILE,Lil Wayne,Mannie Fresh",55,192,"southern hip hop, crunk, bounce, rap, hip hop","Greatest Hits",2004-01-01,04:25,75,82,3,0,53,20,10,-3,D Minor,4,2024-02-10,525yPO8r5J6kLostDxm3XK,7A,USCM50200150
93,"Formation","Beyoncé",70,122,"","Lemonade",2016-04-23,03:26,90,62,1,0,82,20,20,-7,F Minor,4,2024-02-10,6g0Orsxv6glTJCt4cHsRsQ,4A,USSM11603186
94,"Louder (feat. Icona Pop)","Big Freedia,Icona Pop",33,100,"bounce, ballroom vogue, ","Louder (feat. Icona Pop)",2019-11-20,03:24,76,96,4,0,52,0,30,-3,D Major,4,2024-02-10,2fhtmxAUyNd9vyLq1vk2eD,10B,US39N1900224
95,"Phenomenal (feat. Doechii)","Janelle Monáe,Doechii",55,119,"alternative r&b, ","The Age of Pleasure",2023-06-09,03:37,85,63,23,0,73,10,20,-8,G#/A♭ Minor,4,2024-02-10,5iDrSIUAbuajDctFTGRRiR,1A,USAT22305092
96,"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross","DJ Khaled",4,150,"","All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2010-02-09,03:50,55,78,1,0,32,20,30,-4,C Major,4,2024-02-10,0RIHDrcRAXtUlnkvTYPW1a,8B,USKO11000189
97,"Bill Gates","Lil Wayne",56,91,"rap, hip hop","I Am Not A Human Being",2010-01-01,04:18,56,80,28,0,66,20,10,-5,G Major,5,2024-02-10,610FzmkhFSsORpECZbjT4X,9B,USCM51000579
98,"Party Up","DMX",0,203,"east coast hip hop, hardcore hip hop","The Definition of X: Pick Of The Litter (Explicit Version)",2007-06-16,04:32,49,95,8,0,60,30,10,-2,B Major,4,2024-02-10,1afvj3F24pPABgXenbjmdQ,1B,USDJ29905352
99,"Voodoo Magic (feat. The Soul Rebels)","Big Freedia,The Soul Rebels",11,176,"bounce, ballroom vogue, ","Central City",2023-06-23,02:43,68,95,0,0,79,0,0,-4,A#/B♭ Minor,4,2024-02-10,2OnnDvhDbRTX82Gu0dWkDM,3A,US39N2305412
100,"Americans","Janelle Monáe",38,100,"alternative r&b","Dirty Computer",2018-04-27,04:06,73,77,0,5,14,0,0,-6,A Major,4,2024-02-10,5KE6acpiakjqiIskbWVfxB,11B,USAT21800760
