#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
29,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",73,96,"pop, reggaeton, trap latino, latin, urbano latino, ","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,03:32,84,80,16,0,62,20,0,-4,G#/A♭ Minor,4,2022-11-04,4w8niZpiMy6qz1mntFA5uM,1A,USUG11801723
30,"TiK ToK","Kesha",86,120,"","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D Minor,4,2022-11-03,0HPD5WQqrq7wPWR7P7Dw1i,7A,USRC10900433
31,"Toxic","Britney Spears",85,143,"pop","In The Zone",2003-11-13,03:18,77,84,2,3,92,10,20,-4,F Minor,4,2022-11-05,6I9VzXrHxO9rA9A5euc8Ak,4A,USJI10301005
32,"Havana (feat. Young Thug)","Camila Cabello,Young Thug",83,105,"rap, melodic rap, trap","Camila",2018-01-12,03:37,77,52,18,0,39,0,10,-4,D Major,4,2022-11-05,1rfofaqEpACxVEHIZBJe6W,10B,USSM11706905
33,"X Gon' Give It To Ya","DMX",73,95,"east coast hip hop, hardcore hip hop","The Definition Of X: Pick Of The Litter",2007-06-12,03:37,76,90,1,0,67,10,0,-3,A#/B♭ Minor,4,2022-11-05,1zzxoZVylsna2BQB65Ppcb,3A,USDJ20201342
34,"Body","Megan Thee Stallion",70,94,"","Good News",2020-11-20,02:51,91,73,2,0,47,20,10,-6,G#/A♭ Minor,4,2022-11-05,0A1hoCfMLkiAgvhWkkucJa,1A,QMCE32000683
35,"Your Love Is My Drug","Kesha",73,120,"","Animal (Expanded Edition)",2010-01-01,03:07,83,61,1,0,76,10,0,-4,C♯/D♭ Major,4,2022-11-05,6vc2Jq2vaGu8z326kSrw92,3B,USRC10900735
36,"Limbo","Daddy Yankee",46,125,"reggaeton, latin","Prestige",2012-01-01,03:44,81,87,8,0,92,0,0,-4,G Major,4,2022-11-05,6RlAZ8QY4LcA4DxUUIiwmn,9B,USNPD1200128
37,"MONTERO (Call Me By Your Name)","Lil Nas X",71,179,"","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2022-11-03,67BtfxlNbhBmCDR2L2l8qd,1A,USSM12100531
38,"Born This Way","Lady Gaga",70,124,"art pop, pop","Born This Way (Special Edition)",2011-01-01,04:20,59,83,0,0,49,10,30,-5,B Major,4,2022-11-05,6r2BECwMgEoRb5yLfp0Hca,1B,USUM71100638
39,"Crazy In Love (feat. JAY-Z)","Beyoncé,JAY-Z",81,99,"hip hop, east coast hip hop, rap","Dangerously In Love",2003-06-24,03:56,65,77,0,0,68,20,0,-7,D Minor,4,2022-11-04,5IVuqXILoxVWvWEPm82Jxr,7A,USSM10305425
40,"The Man","The Killers",67,106,"alternative rock","Wonderful Wonderful",2017-09-22,04:10,61,94,7,0,52,10,0,-3,F#/G♭ Minor,4,2022-11-05,5aWhs651KYM26HYM16kRdk,11A,USUM71705733
41,"Mi Gente (feat. Beyoncé)","J Balvin,Willy William,Beyoncé",56,105,"reggaeton, latin, ","Mi Gente (feat. Beyoncé)",2017-09-28,03:29,76,72,2,0,47,0,20,-6,B Minor,4,2022-11-05,0GzmMQizDeA2NVMUaZksv0,10A,FR22F1702140
42,"Yoga","Janelle Monáe,Jidenna",51,130,"alternative r&b, ","Yoga",2015-03-31,03:37,74,55,2,0,38,0,20,-6,G Minor,4,2022-11-03,3IJCSQoLF4YzPAKaxq2JLb,6A,USSM11501402
43,"Timber","Pitbull,Kesha",86,130,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,03:24,58,96,3,0,79,10,10,-4,B Major,4,2022-11-05,3cHyrEgdyYRjgJKSOiOtcS,1B,USRC11301695
44,"Low (feat. T-Pain)","Flo Rida,T-Pain",84,128,"","Mail on Sunday",2008-03-17,03:51,92,61,9,0,30,0,10,-6,A#/B♭ Minor,4,2022-11-05,0CAfXk7DXMnon4gLudAp7J,3A,USAT20705841
45,"Despacito","Luis Fonsi,Daddy Yankee",82,178,"latin, reggaeton","VIDA",2019-02-01,03:49,66,80,20,0,84,10,0,-5,D Major,4,2022-11-05,6habFhsOp2NvshLv26DqMb,10B,USUM71607007
46,"Cheguei","LUDMILLA",52,130,"pagode, brazilian pop, funk pop, pagode baiano, funk, funk carioca, samba","A danada sou eu",2016-10-21,02:54,87,86,8,0,94,0,0,-4,F#/G♭ Minor,4,2022-11-03,6cbZb9mVAc5s8HtwklLoI0,11A,BRWMB1600423
47,"Fergalicious","Fergie,will.i.am",70,129,"","The Dutchess",2006-09-13,04:52,91,58,6,0,83,30,10,-8,G#/A♭ Minor,4,2022-11-05,1D066zixBwqFYqBhKgdPzp,1A,USUM70609117
48,"I Got the Juice (feat. Pharrell Williams)","Janelle Monáe,Pharrell Williams",40,120,"alternative r&b, ","Dirty Computer",2018-04-27,03:46,92,49,8,0,40,10,60,-7,C♯/D♭ Major,4,2022-11-03,5Yfq9uugLFchtFymQQWxgt,3B,USAT21800755
49,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",76,150,"","INDUSTRY BABY (feat. Jack Harlow)",2021-07-23,03:32,74,70,2,0,89,0,0,-7,D#/E♭ Minor,4,2022-11-03,27NovPIUIRrOZoCHxABJwK,2A,USSM12104539
50,"Pepas","Farruko",80,130,"reggaeton, trap latino, latin","Pepas",2021-06-24,04:47,76,77,1,0,44,0,10,-4,G Major,4,2022-11-03,5fwSHlTEWpluwOM0Sxnh5k,9B,USSD12100307
51,"Bottoms Up (feat. Nicki Minaj)","Trey Songz,Nicki Minaj",4,74,"r&b, ","Passion, Pain & Pleasure",2010-09-13,04:02,85,60,2,0,33,10,30,-5,C♯/D♭ Major,4,2022-10-19,2IpGdrWvIZipmaxo1YRxw5,3B,USAT21001515
52,"We R Who We R","Kesha",75,120,"","Cannibal (Expanded Edition)",2010-11-19,03:24,74,82,1,0,65,0,10,-5,G#/A♭ Major,4,2022-11-05,3LUWWox8YYykohBbHUrrxd,4B,USRC11000862
53,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",87,105,"r&b, crunk, southern hip hop","Confessions (Expanded Edition)",2004-03-23,04:10,89,79,2,0,58,10,0,-5,D Major,4,2022-11-05,5rb9QrpfcKFHM1EUbSIurX,10B,USAR10301423
54,"Gasolina","Daddy Yankee",8,96,"reggaeton, latin","Barrio Fino (Bonus Track Version)",2004-07-13,03:12,86,80,33,0,75,0,0,-6,C Major,4,2022-11-04,6jEZLz3YpnEBRpVkv35AmP,8B,QM6N21759342
55,"Mr. Brightside","The Killers",0,148,"alternative rock","Direct Hits",2013-01-01,03:43,36,94,0,0,24,0,0,-4,C♯/D♭ Major,4,2022-11-03,5zvJ6DUahHHjeknQPn7iAH,3B,USIR20400274
56,"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER,Pitbull",32,121,"r&b, ","Justice Crew Party Mix",2011-11-21,03:34,65,90,3,0,73,20,10,-5,G Minor,4,2022-11-05,0rdKfiOK6AChv87cdpUYlm,6A,USLF21000041
57,"Bailando - Spanish Version","Enrique Iglesias,Descemer Bueno,Gente De Zona",66,91,"latin pop, latin, latin dance","SEX AND LOVE (Deluxe)",2014-03-17,04:03,72,78,4,0,96,10,0,-4,G Major,4,2022-11-05,32lm3769IRfcnrQV11LO4E,9B,GBUM71400955
58,"The Edge Of Glory","Lady Gaga",49,128,"art pop, pop","Born This Way (Special Edition)",2011-01-01,05:20,58,77,0,2,36,0,10,-6,A Major,4,2022-11-05,6uxYfENm7zw050dNUi031W,11B,USUM71106458
59,"Suavemente","Elvis Crespo",66,124,"merengue, latin dance, salsa, latin","Suavemente...Los Exitos",2008-10-14,04:26,81,88,24,0,92,0,0,-3,G#/A♭ Major,4,2022-11-05,1YwPNemawMgGe6sF4U0FTE,4B,USSD19700576
60,"Hips Don't Lie (feat. Wyclef Jean)","Shakira,Wyclef Jean",87,100,"latin pop, latin, ","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,03:38,78,82,28,0,76,0,40,-6,A#/B♭ Minor,4,2022-11-05,3ZFTkvIE7kyPt6Nu3PEa7V,3A,USSM10600677
61,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",71,91,"latin pop, latin, reggaeton","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,03:27,69,82,6,0,66,0,20,-3,C Major,4,2022-11-05,7nKBxz47S9SD79N086fuhn,8B,USRC11700058
62,"Call Your Girlfriend","Robyn",53,125,"","Body Talk",2010-01-01,03:47,60,89,0,5,46,10,0,-2,G#/A♭ Major,4,2022-11-05,2sCoROOlNQyFpRQEe6A5lv,4B,SEWKZ1000231
63,"Careless Whisper","George Michael",21,153,"","Ladies And Gentlemen... The Best Of George Michael",1998-11-09,05:00,57,63,13,0,80,0,20,-9,D Minor,4,2022-11-05,4jDmJ51x1o9NZB5Nxxc7gY,7A,GBBBM8402006
64,"You Spin Me Round (Like a Record)","Dead Or Alive",76,128,"hi-nrg, synthpop","Evolution: The Hits",1983-00-00,03:15,55,96,0,7,92,0,40,-4,F#/G♭ Minor,4,2022-11-05,1ChulFMnwxoD74Me8eX2TU,11A,GBBBM8400015
65,"Total Eclipse of the Heart","Bonnie Tyler",3,130,"","The Very Best Of Bonnie Tyler",1999-02-08,04:29,44,66,20,0,18,0,10,-8,G#/A♭ Major,4,2022-10-19,5prTs2HAw2G4idHZyeFp8o,4B,GBBBN8300002
66,"Vivir Mi Vida","Marc Anthony",78,105,"salsa, salsa romantica, merengue, bachata, latin","3.0",2013-07-23,04:12,66,88,35,0,89,0,30,-3,C Minor,4,2022-11-05,3QHMxEOAGD51PDlbFPHLyJ,5A,USSD11300112
