#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
39,"Pony","Ginuwine",72,142,"r&b","R&B: From Doo-Wop To Hip-Hop",1999-10-08,04:11,75,61,0,4,97,0,10,-9,G#/A♭ Minor,4,2025-03-02,6mz1fBdKATx6qP4oP1I65G,1A,USSM19605851
40,"Water Slide","Janelle Monáe",43,150,"alternative r&b","The Age of Pleasure",2023-06-09,02:44,73,55,44,0,22,0,30,-5,G Minor,4,2025-03-02,3PlQ7nKvyX9Da10AsYBm7c,6A,USAT22305097
41,"Judas","Big Freedia",24,130,"bounce, ballroom vogue","Judas",2021-05-28,04:07,64,86,1,0,36,0,30,-4,C Minor,4,2025-03-02,3y9z8ShoJTFEkb0Yjz2x49,5A,USUM72108961
42,"Tightrope (feat. Big Boi) - Big Boi Vocal Edit","Janelle Monáe,Big Boi",52,168,"alternative r&b, southern hip hop","The ArchAndroid",2010-05-17,04:22,64,67,3,0,64,0,20,-11,F Minor,4,2025-03-02,1ljzHUgt2SU2ADkhfa9eBC,4A,USBB41000024
43,"Modern Love - Single Version [Remastered]","David Bowie",0,92,"glam rock, art rock","Legacy (Deluxe Edition)",2016-11-11,03:57,47,89,0,0,95,0,0,-9,C Major,4,2025-03-02,0IzwEXmCbVDvB6hEzDaSwG,8B,USJT11400018
44,"Q.U.E.E.N. (feat. Erykah Badu)","Janelle Monáe,Erykah Badu",47,106,"alternative r&b, neo soul, r&b","The Electric Lady",2013-09-06,05:10,84,43,1,0,16,0,10,-8,C Major,4,2025-03-02,3HW030T8eqPs8wpsgZqCGM,8B,USBB41300014
45,"Guess featuring billie eilish","Charli xcx,Billie Eilish",86,130,"hyperpop, art pop, ","Brat and it’s completely different but also still brat",2024-10-11,02:23,78,71,2,21,62,0,10,-4,C Major,4,2025-03-02,0IsIY8pfu1yaGkPUD7pkDx,8B,USAT22406808
46,"El Niño (feat. Lil Wayne & Boyfriend)","Big Freedia,Lil Wayne,Boyfriend",19,150,"bounce, ballroom vogue, rap, hip hop, ","Central City",2023-06-23,03:05,66,78,17,0,41,0,10,-4,G Minor,4,2025-03-02,2KklqeqUSAY35G0SIYIzvy,6A,US39N2305402
47,"Phenomenal (feat. Doechii)","Janelle Monáe,Doechii",55,119,"alternative r&b, ","The Age of Pleasure",2023-06-09,03:37,85,63,23,0,73,10,20,-8,G#/A♭ Minor,4,2025-03-02,5iDrSIUAbuajDctFTGRRiR,1A,USAT22305092
48,"Bill Gates","Lil Wayne",56,91,"rap, hip hop","I Am Not A Human Being",2010-01-01,04:18,56,80,28,0,66,20,10,-5,G Major,5,2025-03-02,610FzmkhFSsORpECZbjT4X,9B,USCM51000579
49,"Rumors (feat. Cardi B)","Lizzo,Cardi B",63,119,"","Rumors (feat. Cardi B)",2021-08-13,02:52,83,73,13,0,61,0,40,-6,E Minor,4,2025-03-02,6KgtcmCF9Ky68XC7ezxl3s,9A,USAT22104137
50,"Candy Shop","50 Cent,Olivia",81,125,"east coast hip hop, ","The Massacre",2005-03-03,03:29,61,57,3,0,76,40,30,-8,B Major,5,2025-03-02,5D2mYZuzcgjpchVY1pmTPh,1B,USIR10500072
51,"Partition","Beyoncé",72,176,"","BEYONCÉ [Platinum Edition]",2014-11-24,05:19,42,44,3,7,17,20,30,-12,B Minor,4,2025-03-02,5hgnY0mVcVetszbb85qeDg,10A,USSM11307803
52,"MONTERO (Call Me By Your Name)","Lil Nas X",71,179,"","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2025-03-02,67BtfxlNbhBmCDR2L2l8qd,1A,USSM12100531
53,"Despacito","Luis Fonsi,Daddy Yankee",82,178,"latin, reggaeton","VIDA",2019-02-01,03:49,66,80,20,0,84,10,0,-5,D Major,4,2025-03-02,6habFhsOp2NvshLv26DqMb,10B,USUM71607007
54,"3rd Ward Bounce (feat. Erica Falls)","Big Freedia,Erica Falls",25,100,"bounce, ballroom vogue, ","3rd Ward Bounce",2018-06-01,05:48,73,97,4,0,58,10,80,-1,G Major,4,2025-03-02,7IlJD8Fm3ry7hqjBC74cV8,9B,US39N1800060
55,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",75,131,"soft pop, ","Gloria",2023-01-27,02:36,72,45,1,0,22,0,30,-7,D Major,4,2025-03-02,0NZPBYD5qbEWRs3PrGiRkT,10B,GBUM72205415
56,"Diva","Beyoncé",77,146,"","I AM...SASHA FIERCE",2008-11-14,03:20,88,55,5,1,86,30,0,-7,F#/G♭ Minor,4,2025-03-02,5Ssv6DaKrW0HczVqx6zXdl,11A,USSM10804755
57,"Uncle ACE","Blood Orange",62,113,"art pop","Cupid Deluxe",2013-11-18,04:16,74,95,6,17,74,0,10,-6,F Major,4,2025-03-02,0Cn4UhpHhgf88eWaS9nn5u,7B,GBCEL1300469
58,"No Better","Lorde",50,150,"","No Better",2013-12-13,02:50,61,67,14,0,35,0,30,-7,F Major,4,2025-03-02,1cSO94kRdktvh9zbndRhFX,7B,NZUM71300248
59,"Double Rum Cola - Single Edit","FATA BOOM",27,97,"","Double Rum Cola",2018-04-12,03:22,72,95,0,0,75,20,90,-4,F#/G♭ Major,4,2025-03-02,0hMjSQoOz8MzO0y23EiKrY,2B,NLE7G1800001
60,"Challengers","Trent Reznor and Atticus Ross",57,130,"soundtrack","Challengers (Original Score)",2024-04-26,01:25,70,96,28,79,63,0,10,-7,C♯/D♭ Major,4,2025-03-02,5dgXKKrU6A9kccwDfANdjS,3B,USQX92401461
61,"Lollipop","Lil Wayne,Static Major",69,148,"rap, hip hop, ","Tha Carter III (MTV Bonus Version)",2008-01-01,04:59,83,43,6,0,46,0,10,-9,C Major,4,2025-03-02,1pm7lQGl6mvKWDxesZTVFp,8B,USCM50800556
62,"TYRANT","Beyoncé,Dolly Parton",65,126,"country","COWBOY CARTER",2024-03-29,04:10,75,65,8,0,81,10,50,-4,F#/G♭ Major,4,2025-03-02,5mUlozUYpdmXVPkj4BW8cA,2B,USSM12402726
63,"KLOuFRENS","Bad Bunny",90,107,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,03:19,33,13,70,71,31,10,10,-32,C♯/D♭ Major,4,2025-03-02,4MUrUT38U98olfnyzMBCzm,3B,QMFMF2447064
64,"Primetime (feat. Miguel)","Janelle Monáe,Miguel",49,124,"alternative r&b, r&b","The Electric Lady",2013-09-06,04:40,67,47,4,1,34,0,40,-8,G#/A♭ Major,4,2025-03-02,5dzV75f9qVXVvdXLTqIG4L,4B,USBB41300040
