#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
25,"No Sleep Till Brooklyn","Beastie Boys",72,97,"rap rock, east coast hip hop, hip hop","Licensed To Ill",1986-11-15,04:06,71,69,12,0,74,10,0,-8,G#/A♭ Major,4,2023-03-30,5qxChyzKLEyoPJ5qGrdurN,4B,USDJ28600008
26,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",71,91,"latin pop, latin, reggaeton","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,03:27,69,82,6,0,66,0,20,-3,C Major,4,2023-05-06,7nKBxz47S9SD79N086fuhn,8B,USRC11700058
27,"Alejandro","Lady Gaga",60,99,"art pop, pop","The Fame Monster (UK Deluxe)",2009-01-01,04:34,63,80,0,0,37,0,30,-7,B Minor,4,2023-05-06,0iOu4s8w3pE9vbpb1SHXsL,10A,USUM70905526
28,"Starships","Nicki Minaj",76,125,"","Pink Friday ... Roman Reloaded",2011-01-01,03:30,75,72,14,0,75,0,20,-2,B Minor,4,2023-05-06,1oHNvJVbFkexQc0BpQp7Y4,10A,USCM51200060
29,"Just Dance","Lady Gaga,Colby O'Donis",1,119,"art pop, pop, ","The Fame Monster (Deluxe)",2009-01-01,04:01,82,73,3,0,68,0,10,-4,C♯/D♭ Minor,4,2023-05-06,3E5XrOtqMAs7p2wKhwgOjf,12A,USUM70807646
30,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",73,96,"pop, reggaeton, trap latino, latin, urbano latino, ","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,03:32,84,80,16,0,62,20,0,-4,G#/A♭ Minor,4,2023-05-06,4w8niZpiMy6qz1mntFA5uM,1A,USUG11801723
31,"Pour Some Sugar On Me","Def Leppard",68,85,"glam metal, glam rock, classic rock","Hysteria",1987-08-03,04:27,27,95,0,0,57,10,20,-5,C♯/D♭ Minor,4,2023-05-06,1aZLIbKEdsyqxyD6iNcrbA,12A,GBF088790147
32,"Run the World (Girls)","Beyoncé",73,127,"","4",2011-06-24,03:56,73,90,0,0,76,10,30,-4,C Major,4,2023-05-06,1uXbwHHfgsXcUKfSZw5ZJ0,8B,USSM11102447
33,"Despacito","Luis Fonsi,Daddy Yankee",82,178,"latin, reggaeton","VIDA",2019-02-01,03:49,66,80,20,0,84,10,0,-5,D Major,4,2023-05-06,6habFhsOp2NvshLv26DqMb,10B,USUM71607007
34,"Immigrant Song - Remaster","Led Zeppelin",79,113,"classic rock, rock, hard rock, rock and roll","Led Zeppelin III (Remaster)",1970-00-00,02:26,56,93,1,17,62,0,30,-10,B Major,4,2023-03-30,78lgmZwycJ3nzsdgmPPGNx,1B,USAT21300934
35,"SOS","Rihanna",80,137,"","A Girl Like Me",2006-04-10,03:58,68,67,0,0,53,0,40,-5,G Major,4,2023-05-06,30cSNer6TV8x2utjULVeQ5,9B,USUM70507379
36,"Bennie And The Jets - Remastered 2014","Elton John",76,133,"","Goodbye Yellow Brick Road (Remastered)",1973-10-05,05:22,67,67,26,0,78,0,50,-8,C Major,4,2023-03-30,5Wj1rJnCLpMHdLaxsFtJLs,8B,GBUM71304955
37,"Holding Out for a Hero (From  Shrek 2 )","L.A Band",0,150,"","The Ogre Hit List",2014-11-11,03:56,44,84,4,0,21,0,70,-6,G Minor,4,2023-05-06,4vUy7enmN23um1gGRruA45,6A,AUDD31402481
38,"Jolene","Dolly Parton",73,111,"country","Jolene",1974-02-04,02:41,67,54,57,0,81,0,10,-11,C♯/D♭ Minor,4,2023-05-06,2SpEHTbUuebeLkgs9QB7Ue,12A,USRN19600096
39,"Bad Romance","Lady Gaga",86,119,"art pop, pop","The Fame Monster (Deluxe Edition)",2009-11-05,04:54,70,92,0,0,71,0,0,-4,C Major,4,2023-05-06,0SiywuOBRcynK0uKGWdCnn,8B,USUM70918596
