#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
26,"Dirty Little Secret","The All-American Rejects",27,144,"pop punk, emo, emo pop","John Tucker Must Die (Music From The Motion Picture)",2006-01-01,03:13,45,96,0,0,50,0,60,-4,A#/B♭ Major,4,2023-10-21,6D69A1eViKubmSsTlPnjNg,6B,USDW10500128
27,"Thriller","Michael Jackson",70,118,"","Thriller 25 Super Deluxe Edition",2008-02-08,05:57,77,86,9,0,81,0,90,-5,B Major,4,2023-10-18,3S2R0EVwBSAVMd5UMgKTL0,1B,USSM19902989
28,"Toxic","Britney Spears",55,143,"pop","Greatest Hits: My Prerogative",2007-12-18,03:18,77,85,3,2,92,10,20,-4,F Minor,4,2023-10-20,717TY4sfgKQm4kFbYQIzgo,4A,USJI10301005
29,"Bottoms Up (feat. Nicki Minaj)","Trey Songz,Nicki Minaj",4,74,"r&b, ","Passion, Pain & Pleasure",2010-09-13,04:02,85,60,2,0,33,10,30,-5,C♯/D♭ Major,4,2023-10-20,2IpGdrWvIZipmaxo1YRxw5,3B,USAT21001515
30,"MONTERO (Call Me By Your Name)","Lil Nas X",76,179,"","MONTERO",2021-09-17,02:17,59,50,29,0,71,20,40,-7,G#/A♭ Minor,4,2023-10-20,1SC5rEoYDGUK4NfG82494W,1A,USSM12100531
31,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",82,120,"","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭ Major,4,2023-10-20,3vkQ5DAB1qQMYO4Mr9zJN6,6B,SEAYD7901120
32,"Boss Bitch","Doja Cat",77,126,"","Boss Bitch",2020-01-23,02:14,71,96,13,0,57,20,20,-5,A#/B♭ Minor,4,2023-10-20,78qd8dvwea0Gosb6Fe6j3k,3A,USAT21907355
33,"Rasputin","Boney M.",66,126,"disco","Nightflight to Venus",1978-00-00,05:51,64,89,29,1,97,0,20,-7,A Major,4,2023-10-18,5jkFvD4UJrmdoezzT1FRoP,11B,DED167800008
34,"Diva","Beyoncé",77,146,"","I AM...SASHA FIERCE",2008-11-14,03:20,88,55,5,1,86,30,0,-7,F#/G♭ Minor,4,2023-10-20,5Ssv6DaKrW0HczVqx6zXdl,11A,USSM10804755
35,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",73,96,"pop, reggaeton, trap latino, latin, urbano latino, ","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,03:32,84,80,16,0,62,20,0,-4,G#/A♭ Minor,4,2023-10-21,4w8niZpiMy6qz1mntFA5uM,1A,USUG11801723
36,"Everytime We Touch","Cascada",76,142,"eurodance, europop","Everytime We Touch (Premium Edition)",2010-02-12,03:17,63,98,0,0,49,0,30,-5,G#/A♭ Major,4,2023-10-21,5YJtMNWKe55yr49cyJgxva,4B,DEZ620500053
37,"Cannibal","Kesha",0,130,"","Cannibal",2010-11-19,03:14,71,68,1,1,59,0,0,-5,C♯/D♭ Major,4,2023-10-21,6bmw3whbG7FBQojQPFk52l,3B,USRC11000876
38,"SUBEME LA RADIO","Enrique Iglesias,Descemer Bueno,Zion & Lennox",71,91,"latin pop, latin, reggaeton","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",2017-02-24,03:27,69,82,6,0,66,0,20,-3,C Major,4,2023-10-21,7nKBxz47S9SD79N086fuhn,8B,USRC11700058
39,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",76,150,"","INDUSTRY BABY (feat. Jack Harlow)",2021-07-23,03:32,74,70,2,0,89,0,0,-7,D#/E♭ Minor,4,2023-10-21,27NovPIUIRrOZoCHxABJwK,2A,USSM12104539
40,"Bloody Mary","Lockdown",54,150,"hardstyle, big room, melbourne bounce","Bloody Mary",2022-12-30,02:32,64,94,1,9,48,0,10,-2,C♯/D♭ Minor,4,2023-10-21,00NbtCjGk8CqdB8ukjxCT4,12A,FRR642201824
